Descriptor,Feature importance
D_5,0.0
D_39,0.0
D_40,0.0
D_41,0.0
D_42,0.0
D_43,0.0
D_44,0.0
D_45,8.69767996630168e-06
D_46,0.0
D_47,0.0
D_48,2.3310674810308287e-08
D_49,0.0
D_50,7.683037330449177e-07
D_58,0.00021048890682672707
D_59,0.0002767252075732532
D_60,0.00026161114667395545
D_61,0.00015681130013498848
D_62,0.00031173983248697227
D_63,0.00011617631744499837
D_64,0.00016406349571333948
D_65,6.042992626581169e-05
D_66,1.2659322356597225e-05
D_67,5.8488870318010876e-05
D_68,0.0001018091285635611
D_69,8.678977043852458e-05
D_70,0.00015125232693137267
D_71,5.7272588378981025e-05
D_72,4.9389697401766556e-05
D_73,1.5329030382485687e-05
D_74,1.2657732386663913e-05
D_75,5.637207253543399e-07
D_76,3.346203810804025e-07
D_77,0.0
D_78,0.0
D_109,0.0
D_112,0.0
D_113,0.0
D_116,0.0
D_121,0.0
D_123,8.900882520796587e-07
D_124,0.0
D_189,0.0007938903894408723
D_190,0.0008257022715110392
D_191,0.0
D_192,0.0
D_193,7.889364132059394e-07
D_194,4.9695555993049355e-05
D_195,0.0
D_196,4.490138882259426e-06
D_197,1.943992772455289e-07
D_198,4.875759668608578e-08
D_199,0.0
D_200,0.0
D_202,0.0
D_206,0.0
D_208,0.0004692735987645448
D_209,0.0008381915490111462
D_210,0.0008599691646697909
D_211,0.0010281053373267317
D_212,0.0008140127266306547
D_213,0.0005878029488521296
D_214,0.0005280124256084858
D_215,0.000833278134158123
D_216,0.0009727266011556292
D_217,0.00046615248574014424
D_218,0.00021196209061758028
D_219,0.0003535359866101581
D_220,0.0007945403473818889
D_221,5.8019128001704384e-05
D_222,3.784293116962346e-05
D_223,0.000130695382313629
D_224,3.302079682151635e-05
D_225,0.00021867434915831324
D_226,9.805071114877596e-05
D_227,6.359776218160551e-06
D_228,1.587923987825838e-07
D_253,0.0
D_254,0.0
D_255,1.6037164619794883e-07
D_256,0.0
D_257,7.14434792205187e-07
D_258,2.7045967409030453e-05
D_259,2.713111594868834e-06
D_260,7.631523791835316e-07
D_261,0.0
D_262,1.8727466566694348e-06
D_263,1.078002806356779e-06
D_264,1.943992772499228e-07
D_265,0.0
D_266,0.0
D_267,2.8396840986916797e-06
D_268,0.0
D_294,0.00089092051767939
D_295,0.0012307388175164875
D_296,0.00048315015326037694
D_297,0.0008170472641089857
D_298,0.0006747943742724208
D_299,0.0009224635893010921
D_300,0.0011106598105826409
D_301,0.0002922268785873476
D_302,0.00045991962203074325
D_303,0.0006696352289364486
D_304,0.0004591224004897935
D_305,0.00016251768067178195
D_306,0.00021608158044550147
D_307,3.2891082363746026e-05
D_308,1.8807171416348395e-05
D_309,0.00044296235581426193
D_310,0.0
D_311,0.0
D_312,0.0
D_313,0.0
D_356,0.00035063375578621377
D_357,0.0010629761945096185
D_358,8.230125321959544e-06
D_359,0.0
D_360,4.450867126889459e-06
D_361,2.0338342970783532e-07
D_362,0.00035719007162651626
D_363,0.0
D_364,6.371468533688848e-05
D_365,1.2267421226745437e-05
D_366,0.0
D_367,4.0089468882185717e-07
D_368,7.77186656339991e-07
D_369,0.0
D_370,3.150526412505638e-06
D_371,0.0
D_377,0.0
D_378,0.0
D_380,1.39353717154611e-05
D_381,0.0001339154892464224
D_382,0.0005904333561966416
D_383,0.00038011755163075737
D_384,0.00012014505733484105
D_385,0.00026904246696532973
D_386,0.0007751874413744857
D_387,0.00020192175989343868
D_388,8.508486196821976e-05
D_389,0.0002997731570486265
D_390,0.0005246235300287734
D_391,0.0009730024431355705
D_392,0.0005675810089327849
D_393,0.0007394349518211914
D_394,0.0002126185403453815
D_395,0.00012923626580328603
D_396,0.0001660324474828889
D_397,3.416300016472908e-05
D_398,1.0842732315813683e-05
D_399,8.335473953354941e-07
D_400,8.702173240353387e-06
D_401,2.343285057181099e-05
D_402,1.2620520863443213e-05
D_403,1.4166514855326799e-09
D_418,2.8770043614949185e-08
D_419,1.4166800655569621e-05
D_420,0.0
D_421,0.0
D_425,1.468022721787204e-07
D_426,1.927531534920282e-05
D_427,0.0
D_428,1.943992772276333e-07
D_429,0.0
D_430,0.0
D_431,4.402422521186068e-05
D_432,0.0
D_433,1.9896973212605136e-06
D_434,2.065267122943658e-08
D_435,0.0
D_436,0.0
D_437,1.0029612954955565e-06
